K_attractivité1,RMSD_dist,RMSD_angle
2.000000,0.104549,19.078106
2.030000,0.096930,19.442468
2.060000,0.103983,18.815660
2.090000,0.102303,17.918421
2.120000,0.097701,18.834475
2.150000,0.098578,18.526838
2.180000,0.097456,18.519428
2.210000,0.096966,19.622583
2.240000,0.097046,18.936532
2.270000,0.092109,19.180678
2.300000,0.086104,18.578781
2.330000,0.096735,18.887610
2.360000,0.098843,17.196060
2.390000,0.101790,18.215638
2.420000,0.100979,17.702645
2.450000,0.093525,16.743575
2.480000,0.095717,17.501887
2.510000,0.095929,17.963402
2.540000,0.092391,17.829833
2.570000,0.086738,19.267419
2.600000,0.092918,18.696734
2.630000,0.087282,18.083929
2.660000,0.086878,15.848046
2.690000,0.089339,19.181665
2.720000,0.082997,17.830113
2.750000,0.089943,16.857268
2.780000,0.094475,17.473260
2.810000,0.086487,17.940525
2.840000,0.092687,17.498862
2.870000,0.090548,17.345261
2.900000,0.075715,17.245689
2.930000,0.087512,16.470154
2.960000,0.086362,17.839450
2.990000,0.086373,17.376873
3.020000,0.085064,15.777253
3.050000,0.070857,17.153035
3.080000,0.078399,17.159535
3.110000,0.072704,16.954576
3.140000,0.080397,16.970729
3.170000,0.079096,15.696623
3.200000,0.077670,15.720070
3.230000,0.081329,15.303117
3.260000,0.067829,16.083913
3.290000,0.078061,15.587867
3.320000,0.071911,15.300991
3.350000,0.080005,16.239933
3.380000,0.071733,14.297238
3.410000,0.073383,12.909879
3.440000,0.073253,14.395444
3.470000,0.073285,14.439391
3.500000,0.069221,13.378618
3.530000,0.068977,12.215124
3.560000,0.071272,13.531217
3.590000,0.066626,15.073362
3.620000,0.070887,12.736198
3.650000,0.071271,13.134346
3.680000,0.071908,12.822925
3.710000,0.070423,11.693923
3.740000,0.068791,16.708727
3.770000,0.055000,12.512167
3.800000,0.069023,12.302958
3.830000,0.071171,12.602257
3.860000,0.061231,10.930447
3.890000,0.065066,14.937885
3.920000,0.058584,11.876311
3.950000,0.067624,10.836543
3.980000,0.056238,11.163200
4.010000,0.067701,10.438196
4.040000,0.068340,10.786550
4.070000,0.060946,11.581972
4.100000,0.062678,10.712497
4.130000,0.059769,11.446629
4.160000,0.073094,14.083312
4.190000,0.063255,10.288457
4.220000,0.060675,9.825297
4.250000,0.062181,15.278491
4.280000,0.058124,9.300370
4.310000,0.058658,13.883796
4.340000,0.056193,11.794507
4.370000,0.053697,9.901717
4.400000,0.058853,9.441476
4.430000,0.061644,9.285034
4.460000,0.061905,13.213930
4.490000,0.055577,9.405894
4.520000,0.053047,10.598192
4.550000,0.063512,9.323252
4.580000,0.052477,11.067765
4.610000,0.057823,9.151099
4.640000,0.059445,8.552020
4.670000,0.058464,12.439794
4.700000,0.063874,8.188027
4.730000,0.054495,8.027142
4.760000,0.062158,8.646081
4.790000,0.055591,11.213628
4.820000,0.059132,7.656543
4.850000,0.056355,10.393417
4.880000,0.051717,10.138778
4.910000,0.054210,7.212292
4.940000,0.052325,9.707722
4.970000,0.055198,8.164250
K_attractivité1,RMSD_dist,RMSD_angle
5.000000,0.053610,8.763403
K_attractivité1,RMSD_dist,RMSD_angle
5.000000,0.053610,8.763403
K_attractivité1,RMSD_dist,RMSD_angle
1.220000,0.128872,21.237727
K_attractivité1,RMSD_dist,RMSD_angle
1.220000,0.128872,21.237727
K_attractivité1,RMSD_dist,RMSD_angle
1.220000,0.128872,21.237727
K_attractivité1,RMSD_dist,RMSD_angle
1.220000,0.128872,21.237727
K_attractivité1,RMSD_dist,RMSD_angle
1.220000,0.128872,21.237727
K_attractivité1,RMSD_dist,RMSD_angle
1.220000,0.128872,21.237727
K_attractivité1,RMSD_dist,RMSD_angle
1.220000,0.128872,21.237727
K_attractivité1,RMSD_dist,RMSD_angle
1.220000,0.128872,21.237727
K_attractivité1,RMSD_dist,RMSD_angle
1.220000,0.128872,21.237727
